data,dividendo,tipo,data_pagamento
2011-03-31,0.72,Rendimento,2011-04-14
2011-04-29,0.75,Rendimento,2011-05-13
2011-05-31,0.79,Rendimento,2011-06-14
2011-06-30,0.8,Rendimento,2011-07-14
2011-07-29,0.81,Rendimento,2011-08-12
2011-08-31,0.82,Rendimento,2011-09-15
2011-09-30,0.82,Rendimento,2011-10-17
2011-10-31,0.82,Rendimento,2011-11-16
2011-11-30,0.82,Rendimento,2011-12-14
2011-12-29,0.82,Rendimento,2012-01-13
2012-01-31,0.8,Rendimento,2012-02-14
2012-02-29,0.8,Rendimento,2012-03-14
2012-03-30,0.8,Rendimento,2012-04-16
2012-04-30,0.8,Rendimento,2012-05-15
2012-05-31,0.8,Rendimento,2012-06-15
2012-06-29,0.8,Rendimento,2012-07-13
2012-07-31,0.8,Rendimento,2012-08-14
2012-08-31,0.8,Rendimento,2012-09-17
2012-09-28,0.8,Rendimento,2012-10-15
2012-10-31,0.8,Rendimento,2012-11-16
2012-11-30,0.8,Rendimento,2012-12-14
2012-12-28,0.82,Rendimento,2013-01-15
2013-01-31,0.83,Rendimento,2013-02-18
2013-02-28,0.83,Rendimento,2013-03-14
2013-03-28,0.83,Rendimento,2013-04-12
2013-04-30,0.84,Rendimento,2013-05-15
2013-05-31,0.85,Rendimento,2013-06-14
2013-06-28,0.85,Rendimento,2013-07-15
2013-07-31,0.85,Rendimento,2013-08-14
2013-08-30,0.85,Rendimento,2013-09-13
2013-09-30,0.85,Rendimento,2013-10-14
2013-10-31,0.85,Rendimento,2013-11-14
2013-11-29,0.87,Rendimento,2013-12-13
2013-12-30,0.87,Rendimento,2014-01-15
2014-01-31,0.87,Rendimento,2014-02-14
2014-02-28,1.23,Rendimento,2014-03-18
2014-03-31,1.25,Rendimento,2014-04-14
2014-04-30,1.28,Rendimento,2014-05-15
2014-05-30,1.28,Rendimento,2014-06-13
2014-06-30,1.28,Rendimento,2014-07-14
2014-07-31,0.87,Rendimento,2014-08-14
2014-08-29,0.87,Rendimento,2014-09-12
2014-09-30,0.87,Rendimento,2014-10-14
2014-10-31,0.87,Rendimento,2014-11-14
2014-11-28,0.87,Rendimento,2014-12-12
2014-12-30,3.64,Rendimento,2015-01-15
2015-01-30,0.87,Rendimento,2015-02-13
2015-02-27,0.87,Rendimento,2015-03-13
2015-03-31,1.24,Rendimento,2015-04-15
2015-04-30,1.24,Rendimento,2015-05-15
2015-05-29,1.24,Rendimento,2015-06-15
2015-06-30,1.24,Rendimento,2015-07-14
2015-07-31,0.87,Rendimento,2015-08-14
2015-08-31,0.87,Rendimento,2015-09-15
2015-09-30,0.87,Rendimento,2015-10-15
2015-10-30,0.87,Rendimento,2015-11-16
2015-11-30,0.87,Rendimento,2015-12-14
2015-12-30,0.87,Rendimento,2016-01-15
2016-01-29,0.87,Rendimento,2016-02-16
2016-02-29,0.87,Rendimento,2016-03-14
2016-03-31,0.87,Rendimento,2016-04-14
2016-04-29,0.87,Rendimento,2016-05-13
2016-05-31,0.87,Rendimento,2016-06-14
2016-06-30,0.87,Rendimento,2016-07-14
2016-07-29,0.87,Rendimento,2016-08-12
2016-08-31,0.87,Rendimento,2016-09-15
2016-09-30,0.87,Rendimento,2016-10-17
2016-10-31,0.87,Rendimento,2016-11-16
2016-11-30,0.87,Rendimento,2016-12-14
2016-12-29,0.87,Rendimento,2017-01-13
2017-01-31,0.87,Rendimento,2017-02-14
2017-02-24,0.87,Rendimento,2017-03-14
2017-03-31,0.87,Rendimento,2017-04-17
2017-04-28,0.87,Rendimento,2017-05-15
2017-05-31,0.87,Rendimento,2017-06-14
2017-06-30,0.87,Rendimento,2017-07-14
2017-07-31,0.87,Rendimento,2017-08-14
2017-08-31,0.87,Rendimento,2017-09-15
2017-09-29,0.87,Rendimento,2017-10-16
2017-10-31,0.87,Rendimento,2017-11-16
2017-11-30,0.87,Rendimento,2017-12-14
2017-12-28,0.87,Rendimento,2018-01-15
2018-01-31,0.87,Rendimento,2018-02-16
2018-02-28,0.87,Rendimento,2018-03-14
2018-03-29,0.87,Rendimento,2018-04-13
2018-04-30,0.87,Rendimento,2018-05-15
2018-05-30,0.87,Rendimento,2018-06-14
2018-06-29,0.75,Rendimento,2018-07-13
2018-07-31,0.75,Rendimento,2018-08-14
2018-08-31,0.75,Rendimento,2018-09-17
2018-09-28,0.75,Rendimento,2018-10-15
2018-10-31,0.75,Rendimento,2018-11-16
2018-11-30,0.75,Rendimento,2018-12-14
2018-12-28,0.75,Rendimento,2019-01-15
2019-01-31,0.75,Rendimento,2019-02-14
2019-02-28,0.75,Rendimento,2019-03-18
2019-03-29,0.75,Rendimento,2019-04-12
2019-04-30,0.75,Rendimento,2019-05-15
2019-05-31,0.75,Rendimento,2019-06-14
2019-06-28,0.75,Rendimento,2019-07-12
2019-07-31,0.75,Rendimento,2019-08-14
2019-08-30,0.75,Rendimento,2019-09-13
2019-09-30,0.78,Rendimento,2019-10-14
2019-10-31,0.78,Rendimento,2019-11-14
2019-11-29,0.78,Rendimento,2019-12-13
2019-12-30,0.78,Rendimento,2020-01-15
2020-01-31,0.78,Rendimento,2020-02-14
2020-02-28,0.78,Rendimento,2020-03-13
2020-03-31,0.78,Rendimento,2020-04-15
2020-04-30,0.78,Rendimento,2020-05-15
2020-05-29,0.78,Rendimento,2020-06-12
2020-06-30,0.78,Rendimento,2020-07-14
2020-07-31,0.78,Rendimento,2020-08-14
2020-08-31,0.78,Rendimento,2020-09-15
2020-09-30,0.6,Rendimento,2020-10-15
2020-10-30,0.78,Rendimento,2020-11-16
2020-11-30,0.78,Rendimento,2020-12-14
2020-12-30,2.63,Rendimento,2021-01-15
2021-01-29,0.78,Rendimento,2021-02-12
2021-02-26,0.78,Rendimento,2021-03-12
2021-03-31,0.78,Rendimento,2021-04-15
2021-04-30,0.78,Rendimento,2021-05-14
2021-05-31,1.0,Rendimento,2021-06-15
2021-06-30,2.2,Rendimento,2021-07-15
2021-07-30,1.1,Rendimento,2021-08-13
2021-08-31,1.1,Rendimento,2021-09-15
2021-09-30,1.1,Rendimento,2021-10-15
2021-10-29,1.1,Rendimento,2021-11-16
2021-11-30,1.1,Rendimento,2021-12-14
2021-12-30,1.75,Rendimento,2022-01-14
2022-01-31,1.1,Rendimento,2022-02-14
2022-02-25,1.1,Rendimento,2022-03-15
2022-03-31,1.1,Rendimento,2022-04-14
2022-04-29,1.1,Rendimento,2022-05-13
2022-05-31,1.1,Rendimento,2022-06-14
2022-06-30,3.3,Rendimento,2022-07-14
2022-07-29,1.1,Rendimento,2022-08-12
2022-08-31,1.1,Rendimento,2022-09-15
2022-09-30,1.1,Rendimento,2022-10-17
2022-10-31,1.1,Rendimento,2022-11-16
2022-11-30,1.1,Rendimento,2022-12-14
